,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
4502,4212601,Peritiba,42,SC,476.62413793103457,520.5241379310346,518.3034482758621,518.3482758620689,559.3103448275862
4503,4212650,Pescaria Brava,42,SC,471.4359550561796,497.68315789473684,513.8989473684209,503.8224719101124,557.0526315789474
4504,4212700,Petrolândia,42,SC,481.43559322033906,507.61290322580635,522.3322580645162,526.8745762711866,592.5806451612904
4505,4212809,Balneário Piçarras,42,SC,480.08108108108087,510.25776699029166,524.3563106796119,526.5351351351353,548.5436893203884
4506,4212908,Pinhalzinho,42,SC,477.2615942028988,515.2199312714777,525.2178694158072,529.7405797101445,583.0927835051547
4507,4213005,Pinheiro Preto,42,SC,482.68,520.9437500000001,530.303125,531.8466666666666,595.625
4508,4213104,Piratuba,42,SC,464.1835820895523,501.8927536231884,521.9057971014491,522.4805970149254,610.1449275362319
4509,4213153,Planalto Alegre,42,SC,502.63636363636357,522.7045454545455,521.5545454545455,562.2045454545455,579.0909090909091
4510,4213203,Pomerode,42,SC,509.08470149253714,534.4124555160146,541.6419928825624,579.7432835820892,594.0213523131673
4511,4213302,Ponte Alta,42,SC,433.4684210526316,466.35652173913047,486.83913043478265,473.5631578947369,458.2608695652174
4512,4213351,Ponte Alta do Norte,42,SC,469.89259259259256,499.80000000000007,507.174074074074,495.04814814814813,497.037037037037
4513,4213401,Ponte Serrada,42,SC,463.229411764706,508.28532110091743,509.519266055046,501.7176470588236,548.0733944954128
4514,4213500,Porto Belo,42,SC,479.5967289719625,513.5263374485598,529.1827160493827,527.1663551401873,552.5925925925926
4515,4213609,Porto União,42,SC,489.36415094339617,525.441333333333,534.7944444444444,538.5191037735856,586.6222222222223
4516,4213708,Pouso Redondo,42,SC,477.8891472868216,500.5971014492753,522.1326086956524,537.7000000000002,545.072463768116
4517,4213807,Praia Grande,42,SC,468.8035460992909,507.7624161073823,521.0798657718123,506.7638297872341,563.7583892617449
4518,4213906,Presidente Castello Branco,42,SC,454.17058823529413,506.2117647058824,525.7411764705882,517.4176470588236,621.1764705882352
4519,4214003,Presidente Getúlio,42,SC,476.9065573770491,518.4693430656935,522.3109489051096,545.2500000000001,555.1824817518249
4520,4214102,Presidente Nereu,42,SC,488.3714285714285,510.5999999999999,529.6782608695652,551.3809523809523,661.7391304347826
4521,4214151,Princesa,42,SC,490.3277777777778,524.9111111111112,532.6722222222222,551.4333333333333,633.3333333333334
4522,4214201,Quilombo,42,SC,480.34266666666673,502.00382165605146,508.271337579618,516.0446666666667,582.9299363057324
4523,4214300,Rancho Queimado,42,SC,482.77619047619044,533.7523809523809,535.657142857143,528.5999999999998,581.9047619047619
4524,4214409,Rio das Antas,42,SC,487.356,499.66981132075466,524.0132075471699,532.4720000000001,564.1509433962265
4525,4214508,Rio do Campo,42,SC,491.0564516129032,515.9809523809524,523.6682539682539,545.3967741935484,557.4603174603175
4526,4214607,Rio do Oeste,42,SC,480.34081632653056,508.7298245614033,521.4964912280702,547.5163265306123,560.7017543859649
4527,4214706,Rio dos Cedros,42,SC,490.7785714285714,533.6333333333334,538.6569444444447,558.8528571428569,599.1666666666666
4528,4214805,Rio do Sul,42,SC,496.1277044854885,529.200852618758,536.8488428745434,558.3493403693933,588.7454323995128
4529,4214904,Rio Fortuna,42,SC,488.2794871794873,522.3119047619048,527.2690476190478,529.5333333333333,542.8571428571429
4530,4215000,Rio Negrinho,42,SC,481.2430656934304,512.4927601809957,521.5285067873302,530.4800486617999,551.447963800905
4531,4215059,Rio Rufino,42,SC,445.06,488.6387096774194,492.18709677419366,473.0366666666666,506.4516129032258
4532,4215075,Riqueza,42,SC,470.12272727272733,489.70454545454544,494.8704545454546,507.618181818182,523.6363636363636
4533,4215109,Rodeio,42,SC,479.0849315068493,503.76883116883124,531.4688311688312,525.8726027397261,530.6493506493506
4534,4215208,Romelândia,42,SC,490.94871794871796,515.7949999999998,511.6699999999999,542.430769230769,604.5
4535,4215307,Salete,42,SC,456.4151898734178,497.6771084337348,510.8506024096384,497.40379746835436,501.9277108433735
4536,4215356,Saltinho,42,SC,470.3818181818181,489.8882352941177,502.72647058823543,492.19393939393944,529.4117647058823
4537,4215406,Salto Veloso,42,SC,503.370731707317,538.2863636363636,533.7522727272727,572.1560975609757,539.5454545454545
4538,4215455,Sangão,42,SC,464.2106060606062,493.7974025974023,507.9714285714284,498.4818181818182,515.0649350649351
4539,4215505,Santa Cecília,42,SC,447.39756097560985,483.5191489361701,503.8595744680852,501.9939024390244,510.0
4540,4215554,Santa Helena,42,SC,476.3655172413794,493.0193548387096,496.42903225806447,525.9793103448275,531.6129032258065
4541,4215604,Santa Rosa de Lima,42,SC,478.3823529411766,487.1555555555554,511.5055555555557,521.4117647058823,566.6666666666666
4542,4215653,Santa Rosa do Sul,42,SC,493.6707070707072,530.9444444444445,534.3018518518519,549.4535353535352,600.0
4543,4215679,Santa Terezinha,42,SC,472.05353535353544,510.42095238095243,502.51809523809516,520.3595959595958,566.2857142857143
